"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance","Referenced in"
"823.8","016226405","Monograph","Language material ; Text","Volume","GBB2C3677","","9781782010166","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; McClure, J. Derrick, translator [person] ; Carroll, Lewis, 1832-1898, author [person]","Ailice's anters in Ferlielann","Alice's adventures in Wonderland. Scots","","","Ireland","Cathair na Mart, Colorado Maigh Eo","Evertype","2012","First edition","xxii, 126 pages, illustrations, 22 cm","","Scots language--Dialects--Scotland--Grampian--Texts ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","Scots","","",""
"823.8","016230103","Monograph","Language material ; Text","Volume","GBB2C5670","","9781908493699","Davies, Mark","1955-","person","","Davies, Mark, 1955- [person]","Alice in waterland : Lewis Carroll and the River Thames in Oxford","","","","England","Oxford","Signal","2013","New edition","1 volume, illustrations","","Carroll, Lewis, 1832-1898 ; Thames River (England)--Description and travel ; Carroll, Lewis, 1832-1898--Characters ; Carroll, Lewis, 1832-1898--Travel--England--Thames River","","English","Previous edition: 2010","",""
"823.8","016242998","Monograph","Language material ; Text","Volume","GBB3B9383","","9781406344400","Carroll, Lewis","1832-1898","person","author","Oxenbury, Helen, illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; Carroll, Lewis, 1832-1898, author [person]","The complete Alice","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","","","England","London","Walker","2012","","22 volumes, illustrations (black and white and colour), 15 cm","YK.2014.a.39","Children's stories, English ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","In box","",""
"823.8","016253116","Monograph","Language material ; Still image ; Text","Volume","GBB304596","","9781782010203","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Sokop, Hans Werner, translator [person] ; Carroll, Lewis, 1832-1898, author [person]","Der Alice ihre Obmteier im Wunderlaund","Alice's adventures in Wonderland. German","","","Ireland","Cnoc Sceichín, Leac an Anfa, Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2012","","x, 134 pages, black and white illustrations, 22 cm","","German language--Dialects--Austria--Vienna--Texts ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","German","","",""
"823.8","016271026","Monograph","Language material ; Text","Volume","GBB312198","","9781782010258","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Þórarinn Eldjárn, translator [person] ; Carroll, Lewis, 1832-1898, author [person]","Ævintýri Lísu í Undralandi","Alice's adventures in Wonderland. Icelandic","","","Ireland","Cnoc Sceichín, Leac an Anfa, Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2013","","viii, 128 pages, black and white illustrations, 22 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","Icelandic","Icelandic translation from the English","",""
"823.8","016299332","Monograph","Language material ; Text","Volume","GBB324367","","9780393932348","Carroll, Lewis","1832-1898","person","author","Gray, Donald J. [person] ; Carroll, Lewis, 1832-1898 [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice in Wonderland","Works. Selections","A Norton Critical Edition","","United States of America","New York","W. W. Norton","2013","Third edition","viii, 392 pages, illustrations, 21 cm","YC.2015.a.6886","Fantasy literature, English ; Children--Books and reading--Great Britain--History--19th century ; Fantasy literature, English--History and criticism ; Carroll, Lewis, 1832-1898--Criticism and interpretation ; Alice, (Fictitious character from Carroll)--Fiction ; Children's literature, English--History and criticism","Fiction","English","","",""
"823.8","016309129","Monograph","Language material ; Still image ; Text","Volume","GBB330352","","9781782010197","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Everson, Michael, 1963-, editor [person] ; Midgley, Ralph, translator [person] ; Carroll, Lewis, 1832-1898, author [person]","L'aventuros d'Alis in Marvoland","Alice's adventures in Wonderland. Neo","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2013","","xiii, 115, black and white illustrations, portraits, 22 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","Artificial languages ; English","","",""
"823.8","016325434","Monograph","Language material ; Still image ; Text","Volume","GBB341647","","9781782010371","Carroll, Lewis","1832-1898","person","author","Lornie, June, illustrator [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland","","","","Ireland","Cathair na Mart, Eire","Evertype","2013","New edition, illustrated by June Lornie","vi, 92 pages, colour illustrations, 22 cm","YKL.2015.a.6505","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","English","","",""
"823.8","016335451","Monograph","Language material ; Still image ; Text","Volume","GBB346199","","9781782010234","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Simanu-Klutz, Luafata, translator [person] ; Carroll, Lewis, 1832-1898, author [person]","'O tāfoga a 'Ālise i le Nu'o o Mea Ofoofogia","Alice's adventures in Wonderland. Samoan","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2013","","xiv, 132 pages, black and white illustrations, 22 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","English ; Samoan","","",""
"823.8","016335452","Monograph","Language material ; Still image ; Text","Volume","GBB346200","","9781782010265","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; McCallum, Andrew, 1959-, translator [person] ; Carroll, Lewis, 1832-1898, author [person]","Ailis's anterins i the Laun o Ferlies","Alice's adventures in Wonderland. Scots","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2013","","viii, 124 pages, black and white illustrations, 22 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","English ; Scots","","",""
"823.8","016416445","Monograph","Language material ; Still image ; Text","Volume","GBB350185","","9781782010111","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Morrison-Smyth, Anne, translator [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's carrànts in Wunnerlan","Alice's adventures in Wonderland. Scots","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2013","","viii, 125 pages, black and white illustrations, 22 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","Scots","Translated from the English","",""
"823.8","016419444","Monograph","Language material ; Still image ; Text","Volume","GBB352173","","9781782010340","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Kőszeghy, Anna, editor [person] ; Szilágyi, Anikó, translator [person] ; Carroll, Lewis, 1832-1898, author [person]","Aliz kalandjai Csodaországban","Alice's adventures in Wonderland. Hungarian","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2013","","xix, 123 pages, black and white illustrations, 22 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","English ; Hungarian","Text in Hungarian; foreword in Hungarian and English","",""
"823.8","016455992","Monograph","Language material ; Still image ; Text","Volume","GBB5F1814","","9780980104400 ; 9780980104417","Carroll, Lewis","1832-1898","person","author","Taylor, Maggie, 1961-, illustrator [person] ; Carroll, Lewis, 1832-1898, author [person]","Lewis Carroll's Alice's adventures in Wonderland","Alice's adventures in Wonderland","","","United States of America","Palo Alto, California","Modernbook","2008","First edition","186 pages, colour illustrations, 29 cm","LC.31.b.15132","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.8","016468309","Monograph","Language material ; Still image ; Text","Volume","GBB369985","","9781782010357","Carroll, Lewis","1832-1898","person","author","Ewell, Doug, editor [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland","","","","United States of America","Westport","Evertype","2013","New edition, edited by Doug Ewell","xvi, 132 pages, illustrations, 22 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","","","",""
"823.8","016468310","Monograph","Language material ; Still image ; Text","Volume","GBB369986","","9781782010401","Carroll, Lewis","1832-1898","person","author","Burstein, Mark, 1950-, editor [person] ; Carroll, Lewis, 1832-1898, author [person]","Soni͡a v t͡sarstvi͡e diva = Sonja in a kingdom of wonder","Alice's adventures in Wonderland. Russian ; Sonja in a kingdom of wonder","","","Ireland","Westport","Evertype","2013","","1 volume (various pagings), illustrations, 22 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","Russian","Translated from the English","",""
"823.8","016473293","Monograph","Language material ; Still image ; Text","Volume","GBB372308","","9781782010425","Carroll, Lewis","1832-1898","person","author","Schlosser, Franz, translator [person] ; Carroll, Lewis, 1832-1898, author [person]","De Lissel ehr Erlebnisses im Wunnderland","Alice's adventures in Wonderland. German","","","Ireland","Westport","Evertype","2013","","xiv, 143 pages, illustrations, 22 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","German","Translated from the English","",""
"823.8","016495937","Monograph","Language material ; Still image ; Text","Volume","GBB383629","","9781782010449","Carroll, Lewis","1832-1898","person","author","Shchur, Max, translator [person] ; Carroll, Lewis, 1832-1898, author [person]","Alesiny pryhody u Tsudazem-i","Alice's adventures in Wonderland. Belarussian","","","Ireland","Westport","Evertype","2013","","xi, 143 pages, illustrations, 22 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","Belarusian","Translated from the English","",""
"823.8","016499259","Monograph","Language material ; Text","Volume","GBB384753","","9781409419037","Jaques, Zoe","","person","","Giddens, Eugene [person] ; Jaques, Zoe [person]","Lewis Carroll's Alice's Adventures in Wonderland and Through the Looking Glass : a publishing history","","Ashgate Studies in Publishing History","","England","Burlington, Vermont ; Farnham, Surrey","Ashgate","2013","","xiii, 248 pages, illustrations, 25 cm","YC.2014.a.782","Carroll, Lewis, 1832-1898--Adaptations--History and criticism ; Publishers and publishing--Great Britain--History--19th century ; Children's stories--Publishing--Great Britain--History--19th century ; Fantasy fiction, English--Adaptations--History and criticism ; Alice, (Fictitious character from Carroll)","","English","","",""
"823.8","016499757","Monograph","Language material ; Still image ; Text","Volume","GBB385250","","9781782010364","Carroll, Lewis","1832-1898","person","author","Thurman, Thomas, 1975-, editor [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland : an edition printed in the Shaw alphabet","","","","Ireland","Westport","Evertype","2013","First edition","x, 109 pages, illustrations, 22 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.8","016504844","Monograph","Language material ; Still image ; Text","Volume","GBB388448","","9780147509079","Carroll, Lewis","1832-1898","person","author ; illustrator","Tenniel, John, 1820-1914, illustrator [person] ; Haughton, Hugh, 1948-, editor [person] ; Carroll, Lewis, 1832-1898 [person] ; Carroll, Lewis, 1832-1898, author ; illustrator [person]","Alice's adventures in Wonderland : and, Through the looking-glass and what Alice found there ; Alice's adventures under ground","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","","","United States of America","New York","Penguin","2012","","lxxx, 356 pages, black and white illustrations, 21 cm","YKL.2014.a.1325","Alice, (Fictitious character from Carroll)","Children's fiction","English","","",""
"823.8","016564937","Monograph","Language material ; Still image ; Text","Volume","GBB3B4016","","9781782010470","Carroll, Lewis","1832-1898","person","author","Simon, Olivier, translator [person] ; Carroll, Lewis, 1832-1898, author [person]","Ia aventures as Alice in Daumsenland","Alice's adventures in Wonderland. Sambahsa","","","Ireland","Westport","Evertype","2013","First edition","xxiii, 132 pages, black and white illustrations, 22 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","","Translated from the English into Sambahsa","",""
"823.8","016713499","Monograph","Language material ; Text","Volume","GBB450015","","9780192738295","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898 [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland : &, Through the looking-glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","Oxford children's classics","","England","Oxford","Oxford University Press","2014","","271 pages, 20 cm","YKL.2015.a.11897","Children's stories, English ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.8","016738508","Monograph","Language material ; Text","Volume","GBB459998","","9781782010715","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Ivanov, Dmitry, translator [person] ; Lysenko, Anastasia, translator [person] ; Carroll, Lewis, 1832-1898, author [person]","Alisa-ney Aventuras in Divalanda","Alice's adventures in Wonderland. Lingwa de planeta","","","Ireland","Westport","Evertype","2014","First Edition","xiv, 150 pages, 22 cm","","Alice, (Fictitious character from Carroll)--Fiction","Fantasy ; Fiction","Artificial languages","Translated from the English","",""
"823.8","016814821","Monograph","Language material ; Still image ; Text","Volume","GBB481066","","9781447273080","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland","","Macmillan classics","","England","London","Macmillan","2014","","xi, 176 pages, 16 leaves of unnumbered plates, illustrations (black and white and colour), 21 cm","YKL.2016.a.3401","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.8","016814822","Monograph","Language material ; Text","Volume","GBB481067","","9781447273097","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898, author [person]","Through the looking-glass : and what Alice found there","","Macmillan classics","","England","London","Macmillan","2014","Children's edition","xv, 202 pages, 16 unnumbered leaves of plates, illustrations (black and white and colour), 21 cm","Nov.2016/1219","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","This edition originally published: 1927","",""
"823.8","016855960","Monograph","Language material ; Text","Volume","GBB493118","","9781407145396","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland","","Scholastic classics","","England","London","Scholastic","2014","","1 volume, 20 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.8","016868570","Monograph","Language material ; Still image ; Text","Volume","GBB4A0102","","9781782010616","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Perets, Avner, translator [person] ; Carroll, Lewis, 1832-1898, author [person]","Las aventuras de Alisia en el Paiz de las Maraviyas","Alice's adventures in Wonderland. Ladino","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2014","","x, 126 pages, black and white illustrations, 22 cm","","Alice, (Fictitious character from Carroll)--Fiction","Fantasy ; Fiction","Ladino","Translated from the English","",""
"823.8","016868571","Monograph","Language material ; Still image ; Text","Volume","GBB4A0103","","9781782010623","Carroll, Lewis","1832-1898","person","author","Cocker, Siutāula, translator [person] ; Kalavite, Telesia, translator [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898, author [person]","ʿAlisi ʿi he Fonua ʿo e Fakaofo'","Alice's adventures in Wonderland. Tongan","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2014","","x, 146 pages, black and white illustrations, 22 cm","","Alice, (Fictitious character from Carroll)--Fiction","Children's fiction ; Fiction","Tongan","Translated from the English","",""
"823.8","016870423","Monograph","Language material ; Still image ; Text","Volume","GBB5E2569","","9781909621190","","","","","Gray, Rosemary, 1941-, compiler [person] ; Carroll, Lewis, 1832-1898 [person] ; Tenniel, John, 1820-1914 [person]","Alice in Wonderland everlasting diary","Works","","","England","London","Collector's Library","2014","","383 pages, black and white illustrations, 16 cm","YKL.2015.a.6689","Diaries (Blank-books) ; Carroll, Lewis, 1832-1898--Quotations","Quotation or maxim","English","","",""
"823.8","016873171","Monograph","Language material ; Still image ; Text","Volume","GBB4A2286","","9781782010647","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Jenkins, John H. (John Howard), editor [person] ; Everson, Michael, 1963- [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland = (u10408) (u1044A) (u1042E) (u10445) (u2019) (u10446) (u10408) (u1043C) (u10442) (u1042F) (u1044C) (u1043D) (u10432) (u10449) (u10446) (u1042E) (u1044C) (u1040E) (u10432) (u1044C) (u1043C) (u10432) (u10449) (u1044A) (u10430) (u1044C) (u1043C) : an edition printed in the Deseret Alphabet","Alice's adventures in Wonderland in the Deseret Alphabet","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2014","","xii, 120 pages, black and white illustrations, 22 cm","","Alice (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.8","016873172","Monograph","Language material ; Still image ; Text","Volume","GBB4A2287","","9781782010654","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Ntuli, D. B. Z., translator [person] ; Carroll, Lewis, 1832-1898, author [person]","U-Alice ezweni Lezimanga","Alice's adventures in Wonderland. Zulu","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2014","","xiv, 139 pages, black and white illustrations, 22 cm","","Alice (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","Zulu","Translated from the English","",""
"823.8","016885468","Monograph","Language material ; Still image ; Text","Volume","GBB4A6385","","9781406360431","Carroll, Lewis","1832-1898","person","author","Oxenbury, Helen, illustrator [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland","","","","England","London","Walker","2014","150th anniversary edition, illustrated by Helen Oxenbury","206 pages, illustrations (black and white and colour), 24 cm","YKL.2015.a.16373","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.8","016885662","Monograph","Language material ; Still image ; Text","Volume","GBB4A6579","","9781471141614","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland : Through the looking glass","Through the looking-glass ; Works. Selections","","","England","London","Simon & Schuster","2015","","vi, 282 pages, black and white illustrations, 20 cm","H.2016/.7220","Alice, (Fictitious character from Carroll)--Fiction","Fiction","English","","",""
"823.8","016891519","Monograph","Language material ; Still image ; Text","Volume","GBB4B4290","","9781937994976","Nichols, Catherine","","person","author","Nichols, Catherine, author [person]","Alice's Wonderland : a visual journey through Lewis Carroll's mad, mad world","","","","United States of America","New York","Race Point","2014","","xii, 202 pages, illustrations, 32 cm","LC.31.b.15489","Carroll, Lewis, 1832-1898 ; Influence (Literary, artistic, etc.) ; Carroll, Lewis, 1832-1898--Influence","","English","","",""
"823.8","016913559","Monograph","Language material ; Still image ; Text","Volume","GBB4C0163","","9781782010609","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Byrne, Catherine M., translator [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's mishanters in e Land o Farlies","Alice's adventures in Wonderland. Scots","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2014","","viii, 121 pages, black and white illustrations, 22 cm","","Alice (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","Scots","Translated from the English","",""
"823.8","016913561","Monograph","Language material ; Still image ; Text","Volume","GBB4C0165","","9781782010845","Carroll, Lewis","1832-1898","person","author","Begg, J. A. (James A.), translator [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898, author [person]","Alison's jants in Ferlieland","Alice's adventures in Wonderland. Scots","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2014","","ix, 124 pages, black and white illustrations, 22 cm","","Alice (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","Scots","Translated from the English","",""
"823.8","016965843","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBB4D8359","","9781447292951","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898, author [person]","Through the looking glass","","Macmillan Children's Classics","2 [Macmillan Children's Classics]","England","London","Macmillan","2015","Macmillan classics edition","1 online resource, illustrations","ELD.DS.109675","Alice, (Fictitious character from Carroll)--Juvenile fiction ; Classic Fiction (Pre C 1945) ; Classics ; Fantasy ; Fantasy & magical realism (Children's / Teenage) ; Fantasy & Magic","Children's fiction","English","Additional physical form: Print version. 9781447273097 ; This edition previously issued in print: 2014","",""
"823.8","016974847","Monograph","Language material ; Still image ; Text","Volume","GBB4E5521","","9781447277781","","","","","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland : adapted for very little folks from the original story by Lewis Carroll","Alice's adventures in Wonderland","","","England","London","Macmillan","2015","Little folks' edition","127 pages, colour illustrations, 13 cm","Nov.2016/1964","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","'Celebrating 150 years of Lewis Carroll's classic'--Cover Band ; 'The 1907 edition, on which the present book is based, features Tenniel's Alice in a red dress for the first and only time'--Page 5 ; Originally published: London : Macmillan & Co. Ltd, 1907","",""
"823.8","016974848","Monograph","Language material ; Still image ; Text","Volume","GBB4E5522","","9781447279990","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland","","","","England","London","Macmillan","2015","","196 pages, illustrations","YKL.2016.a.10804","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.8","016974849","Monograph","Language material ; Still image ; Text","Volume","GBB4E5523","","9781447280002","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898, author [person]","Through the Looking-Glass : and What Alice Found There","","","","England","London","Macmillan","2015","","213 pages, illustrations","YKL.2016.a.10833","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.8","016974855","Monograph","Language material ; Still image ; Text","Volume","GBB4E5529","","9781447287117","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898, author [person]","The nursery 'Alice'","","","","England","London","Macmillan","2015","","56 pages, illustrations, 21 cm","YKL.2016.a.10810","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.8","016991278","Monograph","Language material ; Still image ; Text","Volume","GBB4F3559","","9781782010838","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Everson, Michael, 1963-, editor [person] ; Williams, Nicholas, editor [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland = 'Æl (u026A) s (u026A) z (u0259) d'vent (u0283) (u0259) z (u026A) n 'W (u1D27) nd (u0259) (u02B4) lænd","Alice's adventures in Wonderland in the IPA","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2014","","viii, 120 pages, black and white illustrations, 22 cm","","Alice (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","English","'An edition printed in the International Phonetic Alphabet' -- title page","",""
"823.8","017001236","Monograph","Language material ; Still image ; Text","Volume","GBB501208","","9781406361575","Carroll, Lewis","1832-1898","person","author","Browne, Anthony, 1946-, illustrator [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland","","","","England","London","Walker","2015","","117 pages, illustrations, 28 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.8","017001774","Monograph","Language material ; Still image ; Text","Volume","GBB501746","","9781631060687","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland and other tales","Alice's adventures in Wonderland ; Hunting of the Snark ; Sylvie and Bruno ; Through the looking-glass ; Works. Selections","Knickerbocker classics","","United States of America","New York","Race Point Publishing","2015","","xxvii, 1029 pages, black and white illustrations, 25 cm","YKL.2015.b.5795","Children's stories, English ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","In slip case","",""
"823.8","017010728","Monograph","Language material ; Still image ; Text","Volume","GBB505860","","9781782010951","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Williams, Nicholas, 1942-, translator [person] ; Carroll, Lewis, 1832-1898, author [person]","Aventurs Alys in Pow an Anethow : Alice's adventures in Wonderland in Cornish","Alice's adventures in Wonderland. Cornish","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2015","","135 pages, black and white illustrations, 22 cm","","Alice (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","Cornish","Originally published: 2009","",""
"823.8","017010963","Monograph","Language material ; Text","Volume","GBB506095","","9781847494078","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898 [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland : and, Through the looking glass","Novels. Selections ; Through the looking-glass","","","England","Richmond, Surrey","Alma Classics","2015","150th anniversary edition","387 pages, black and white illustrations, 20 cm","YKL.2017.a.16497","Alice, (Fictitious character from Carroll)--Fiction","Fiction","English","","",""
"823.8","017011660","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB506791","","9780571323364","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland","","Faber children's classics","","England","London","Faber & Faber","2015","Main","1 online resource","ELD.DS.126824","Classic Fiction (Children's/Ya) ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.8","017019241","Monograph","Language material ; Still image ; Text ; Three-dimensional form","Sheet","GBB508826","","9781406361728","Carroll, Lewis","1832-1898","person","author","Ferguson, Richard [person] ; Royal Mail Group (Firm) [organisation] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland","Alice's adventures in Wonderland. Abridgement","Panorama pops","","England","London","Royal Mail Group ; Walker","2015","Anniversary edition","1 folded sheet (unpaged), colour illustrations, 11 cm","YKL.2017.a.13245","Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile literature ; Pop-up books--Specimens","Children's literature ; Pictorial work ; Specimen","English","'Based on Royal Mail stamps illustrated by Grahame Baker-Smith'--Cover ; Concertina format ; In slipcase ; Includes pop-up illustrations","",""
"823.8","017038772","Monograph","Language material ; Still image ; Text","Volume","GBB514800","","9781784870171","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Westwood, Vivienne, 1941-, illustrator ; writer [person] ; Carroll, Lewis, 1832-1898 [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland : with, Through the looking-glass and what Alice found there","Alice's adventures in Wonderland ; Through the looking-glass ; Works. Selections","Vintage classics","","England","London","Vintage","2015","150th anniversary edition","xii, 348 pages, black and white illustrations, 1 map (black and white), 22 cm","YKL.2017.a.505","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","English","","",""
